# HVACIDA 气象数据库(GB 50736-2012 附录A 表A 室外空气计算参数)
# 源文件: 各省市室外空气参数.md
# 源文件 SHA256: 36c4e4255a1becc55c044222d596e14382f5aa7d0cec93c497906a1b967942d4
# 源文件字节数: 257361
# 台站数: 294
# 重新生成: python tools/weatherdb/build_weather_db.py
# 本文件是生成物,不要手改;改数据请改源文件后重跑生成器
# (门禁 tools/weatherdb/check-weather-db-sync.ps1 会校验源文件 SHA256 与台站数)。
station_id,province,city,station_name,latitude,longitude,elevation_m,stats_period,annual_mean_temp_c,heating_outdoor_c,winter_vent_outdoor_c,winter_ac_outdoor_c,winter_ac_rh_pct,summer_ac_dry_bulb_c,summer_ac_wet_bulb_c,summer_vent_dry_bulb_c,summer_vent_rh_pct,summer_ac_daily_mean_c,winter_atm_pressure_hpa,summer_atm_pressure_hpa,extreme_max_c,extreme_min_c,max_frost_depth_cm,winter_sunshine_pct
54857,山东,青岛,青岛,36°04',120°20',76,1971~2000,12.7,-5,-0.5,-7.2,63,29.4,26,27.3,73,27.3,1017.4,1000.4,37.4,-14.3,,59
54830,山东,淄博,淄博,36°50',118°00',34,1971~1994,13.2,-7.4,-2.3,-10.3,61,34.6,26.7,30.9,62,30,1023.7,1001.4,40.7,-23,46,51
54765,山东,烟台,烟台,37°32',121°24',46.7,1971~1991,12.7,-5.8,-1.1,-8.1,59,31.1,25.4,26.9,75,28,1021.1,1001.2,38,-12.8,46,49
54843,山东,潍坊,潍坊,36°45',119°11',22.2,1971~2000,12.5,-7,-2.9,-9.3,63,34.2,26.9,30.2,63,29,1022.1,1000.9,40.7,-17.9,50,58
54938,山东,临沂,临沂,35°03',118°21',87.9,1971~1997,13.5,-4.7,-0.7,-6.8,62,33.3,27.2,29.7,68,29.2,1017,996.4,38.4,-14.3,40,55
54714,山东,德州,德州,37°26',116°19',21.2,1971~1994,13.2,-6.5,-2.4,-9.1,60,34.2,26.9,30.6,63,29.7,1025.5,1002.8,39.4,-20.1,46,49
54906,山东,菏泽,菏泽,35°15',115°26',49.7,1971~1994,13.8,-4.9,-0.9,-7.2,68,34.4,27.4,30.6,66,29.9,1021.5,999.4,40.5,-16.5,21,46
54945,山东,日照,日照,35°23',119°32',16.1,1971~2000,13,-4.4,-0.3,-6.5,61,30,26.8,27.7,75,28.1,1024.8,1006.6,38.3,-13.8,25,59
54774,山东,威海,威海,37°28',122°08',65.4,1971~2000,12.5,-5.4,-0.9,-7.7,61,30.2,25.7,26.8,75,27.5,1020.9,1001.8,38.4,-13.2,47,54
54916,山东,济宁,兖州,35°34',116°51',51.7,1971~2000,13.6,-5.5,-1.3,-7.6,66,34.1,27.4,30.6,65,29.7,1020.8,999.4,39.9,-19.3,48,54
54827,山东,泰安,泰安,36°10',117°09',128.8,1971~1991,12.8,-6.7,-2.1,-9.4,60,33.1,26.5,29.7,66,28.6,1011.2,990.5,38.1,-20.7,31,52
54725,山东,滨州,惠民,37°30',117°31',11.7,1971~2000,12.6,-7.6,-3.3,-10.2,62,34,27.2,30.4,64,29.4,1026,1003.9,39.8,-21.4,50,58
54736,山东,东营,东营,37°26',118°40',6,1971~2000,13.1,-6.6,-2.6,-9.2,62,34.2,26.8,30.2,64,29.8,1026.6,1004.9,40.7,-20.2,47,61
57083,河南,郑州,郑州,34°43',113°39',110.4,1971~2000,14.3,-3.8,0.1,-6,61,34.9,27.4,30.9,64,30.2,1013.3,992.3,42.3,-17.9,27,47
